(34.4413,0)
(89.0756,37.3296)
(-52.6104,-17.927)
(17.2257,31.7725)
(13.5442,-18.263)
(-21.5476,17.8007)
(-0.298632,20.9937)
(-3.31176,5.24713)
(-8.13407,-17.1699)
(-9.32151,6.2916)
(-1.59324,-3.43783)
(-1.82692,-2.70372)
(-1.36729,-1.38536)
(-0.770806,-1.75429)
(0.459126,-1.73409)
(2.24489,-0.797142)
(-1.67355,-2.1981)
(-0.47685,-2.45986)
(3.96384,-9.06433)
(-0.91693,0.598865)
(-1.01034,-0.187263)
(-0.722639,-0.487252)
(-0.387026,-0.40893)
(-1.00581,-0.333399)
(-0.960224,-0.815775)
(-0.362464,-0.526472)
(-0.436824,-0.398826)
(-1.18871,-0.809042)
(-0.196871,-0.227629)
(-0.308114,-0.542737)
(-0.402986,-0.496612)
(-0.302529,-0.597093)
(-0.121951,-0.155299)
(0.0656583,-0.473151)
(-0.181519,-0.235447)
(-0.100853,-0.399844)
(-0.284369,-0.612081)
(-0.0728342,-0.262425)
(-0.0285493,-0.531911)
(-0.178252,-0.106905)
(-0.227362,-0.200643)
(-0.148305,-0.17322)
(-0.207143,-0.354705)
(-0.0323606,-0.145146)
(-0.229535,-0.164692)
(-0.265805,-0.259501)
(0.275311,-0.291513)
(-0.0449913,-0.290553)
(-0.0825116,-0.304121)
(0.0767592,-0.217834)
(0.170145,-0.459934)
(-0.0789654,-0.180223)
(-0.149369,-0.225483)
(-0.124709,-0.157987)
(-0.159566,-0.125189)
(0.378142,-0.222554)
(0.0106096,-0.288655)
(-0.000517817,-0.214824)
(0.0302078,-0.26557)
(0.0827357,-0.392075)
(-0.061992,-0.170311)
(-0.052497,-0.316036)
(0.0102392,-0.177233)
(0.017581,-0.166744)
(0.164829,-0.140094)
(0.0146644,-0.165174)
(0.0430594,-0.160601)
(0.104911,-0.175408)
(0.00589163,-0.134608)
(0.0231513,-0.136448)
(-0.155811,-0.280092)
(-0.0437866,-0.166837)
(-0.0113959,-0.141652)
(-0.0945979,-0.0983025)
(-0.0254431,-0.291171)
(-0.0103825,-0.19971)
(-0.0391593,-0.267597)
(0.0787148,-0.0459012)
(-0.171894,-0.0662332)
(-0.0701951,-0.13205)
(0.0252188,-0.164634)
(-0.0187159,-0.117356)
(0.144624,0.0472022)
(0.0354758,-0.103103)
(0.0146955,-0.147259)
(-0.0773181,-0.128078)
(0.103327,-0.141673)
(0.0328517,-0.151993)
(-0.0137577,-0.166536)
(0.0340796,-0.116667)
(-0.00831142,-0.162601)
(0.054873,-0.0346324)
(0.0539845,-0.131483)
(0.0721369,-0.114079)
(-0.041508,-0.0900955)
(-0.0170146,-0.11121)
(0.00218266,-0.10223)
(0.00613886,-0.110139)
(0.0293667,-0.10799)
(-0.00418399,-0.139198)
(0.0367645,-0.144113)
(0.00453513,-0.137144)
(0.0184012,-0.121487)
(-0.00929774,-0.0967806)
(-0.00309662,-0.103842)
(0.0379732,-0.141888)
(0.0333017,-0.127005)
(0.0645993,-0.144297)
(5.19074e-05,-0.113747)
(0.0149376,-0.134145)
(0.000854652,-0.0910256)
(0.00242665,-0.0818157)
(0.0115493,-0.0948304)
(0.0310518,-0.130768)
(0.0149128,-0.115723)
(0.0629422,-0.10345)
(0.0547074,-0.0859215)
(0.132649,-0.123668)
(-0.0462293,-0.12384)
(0.0615419,-0.0735987)
(0.0410627,-0.102685)
(0.0430696,-0.0865853)
(0.0267189,-0.101077)
(0.0432414,-0.0911974)
(-0.0160485,-0.0888767)
(0.014106,-0.0929647)
(0.0281304,-0.0840421)
(0.0131586,-0.0925658)
(0.0137948,-0.100203)
(0.0172346,-0.107258)
(0.0176578,-0.0940427)
(0.0242571,-0.0754135)
(0.0301918,-0.077693)
(0.0261313,-0.0925871)
(0.0341876,-0.0859056)
(0.0293851,-0.0797246)
(0.0292396,-0.064915)
(0.0252423,-0.0964376)
(0.0139473,-0.103708)
(0.0276686,-0.0723258)
(0.0266906,-0.0815447)
(0.0275674,-0.0847942)
(0.0223603,-0.0841425)
(0.0401299,-0.0762569)
(0.0314061,-0.0973585)
(0.0228767,-0.0830383)
(0.036802,-0.127714)
(0.0351805,-0.0658279)
(0.0322717,-0.0674307)
(0.0457125,-0.0718069)
(0.0234466,-0.0810366)
(0.0306853,-0.0813811)
(0.0260985,-0.0834932)
(0.0227222,-0.0693923)
(0.00291719,-0.0984701)
(0.0307496,-0.0733329)
(0.0404211,-0.0751311)
(0.0295837,-0.0774287)
(0.0185612,-0.0756182)
(0.0361252,-0.0793006)
(0.0284078,-0.0811153)
(0.0450321,-0.0821005)
(0.0092097,-0.0644094)
(0.0214479,-0.0500213)
(0.0245668,-0.0563233)
(0.0290324,-0.0664919)
(0.0266377,-0.0657105)
(0.0205421,-0.0629076)
(0.0243229,-0.0600145)
(0.0260681,-0.0710366)
(0.0430567,-0.0483028)
(0.0255793,-0.050059)
(0.028233,-0.0713136)
(0.0329123,-0.0612447)
(0.0312909,-0.0533343)
(0.0242262,-0.0486229)
(0.0243999,-0.0526244)
(0.0567623,-0.0261249)
(0.031209,-0.0698541)
(0.0180526,-0.0609997)
(0.0147765,-0.0490926)
(0.0262986,-0.0442023)
(0.00743601,-0.0322752)
(0.0582817,-0.0889389)
(0.0344421,-0.0619292)
(0.0289996,-0.0371827)
(0.0469716,-0.0623979)
(0.0315144,-0.0527203)
(0.0316685,-0.0547359)
(0.0219753,-0.0494695)
(0.0475983,-0.0528937)
(0.0370213,-0.0637042)
(0.0364244,-0.061361)
(0.0236182,-0.0547218)
(0.0310146,-0.0586442)
(0.0297727,-0.058651)
(0.0326406,-0.0620049)
(0.0289837,-0.0536128)
(0.0370582,-0.0520931)
(0.0381236,-0.0488254)
(0.0297386,-0.049566)
(0.0330774,-0.0505946)
(0.0326494,-0.0466627)
(0.0342223,-0.0763637)
(0.0281557,-0.049465)
(0.0272226,-0.0582517)
(0.0255366,-0.0532825)
(0.0338808,-0.0587338)
(0.0223632,-0.0573841)
(0.0530776,-0.0291567)
(-0.00262005,-0.078783)
(0.0290189,-0.060163)
(0.0332468,-0.0519553)
(0.0275461,-0.0460357)
(0.027859,-0.0468324)
(0.0180123,-0.0443938)
(0.0200556,-0.0299192)
(0.0441052,-0.0753946)
(0.0354339,-0.0561711)
(0.0318885,-0.0568522)
(0.0371775,-0.0460194)
(0.0279082,-0.0472724)
(0.0429912,-0.0558115)
(0.035,-0.0499736)
(0.0262997,-0.0600744)
(0.0446895,-0.045008)
(0.0319319,-0.0493728)
(0.0387124,-0.0451539)
(0.0301468,-0.0430106)
(0.0316129,-0.0482598)
(0.0398824,-0.0489523)
(0.023658,-0.0457278)
(0.0295374,-0.0489249)
(0.0422835,-0.0499739)
(0.0310574,-0.0480282)
(0.0377892,-0.0470178)
(0.0334394,-0.0436406)
(0.0397549,-0.0475039)
(0.0258162,-0.050159)
(0.0319071,-0.0350189)
(0.037197,-0.0483031)
(0.0402164,-0.0418804)
(0.0319977,-0.0448298)
(0.0335743,-0.0421732)
(0.0324692,-0.0362979)
(0.0319723,-0.0387576)
(0.0359078,-0.05042)
(0.0307644,-0.0386403)
(0.0341691,-0.0460642)
(0.0290446,-0.0462785)
(0.0333963,-0.0409713)
(0.0280946,-0.0422364)
(0.03549,-0.035638)
(0.0378981,-0.0387936)
(0.0384798,-0.0385468)
(0.0299394,-0.0446218)
(0.0334015,-0.0407715)
(0.0281858,-0.0447196)
(0.0298786,-0.0414894)
